id,name,store_name,com_code,area_code,zipcode,address1,address2,address3,tel,shopping_time,shopping_time_text,holiday_info,spec,parking_count,floor_start,floor_end,intro,map_x,map_y,map_info,culture_id,culture_tel,oil_yn,electric_yn,dlv_srv_yn,store_tp,store_l_yn,tel_no2,store_e_yn,tel_no3,store_m_yn,tel_no4,store_p_yn,tel_no5,store_dl_yn,store_dc_yn,store_sc_yn,store_bc_yn,store_tk_yn,store_pk_yn,store_mc_yn,store_fd_yn,store_ss_yn,store_n_yn,tel_no6,store_bt_yn,tel_no7
1001,이마트 창동점,,EMT,A,132045,서울 도봉구 노해로 65길 4,,서울특별시 도봉구 창동 135-26,02-901-1234,10:00~22:00,,"[2023-07-09,2023-07-23,2023-06-11,2023-06-25,2023-01-22]","4,297",159,-1,2,"&lt;유료주차 운영 안내&gt;
- 24시간운영
- 무료회차 시간 30분이내
- 기본요금: 10분당 1,000원
- 30분 초과시 회차시간 포함 요금징수

※ 구매금액별 무료주차시간
    1만원 이상 구매 2시간 무료주차
    3만원 이상 구매 3시간 무료주차
    5만원 이상 구매 4시간 무료주차
   10만원 이상 구매 5시간 무료주차

※ 임대매장(스타벅스, 식당 등)이용 무료주차
    해당매장에서 무료주차 2시간 적용

※ 계산대 출력영수증, 모바일영수증에 
    하단 바코드를 사용하여
    신용카드 전용 사전무인정산기 정산후 출차
    -케이엠파크:080-330-3600

※ 전기차 충전소 위치: 옥외 주차장 8F 
    차지비,완속 3대,24:00~24:00, 고객센터 1600-4047",37.6518026,127.0472873,"[지하철 이용시] 
창동역 2번출구 나오셔서 왼쪽방향

[버스 이용시]
마을버스 (도봉) 01번
초록(지선버스) 1120, 1133, 1157번

[승용차 이용시]
노원/태릉이용시 ▷노원역에서 승요차 이용시 창동교를 지나 창동지하차도지나 도봉등기소 앞 50m에서 U턴 실시
쌍문/수유미아에서 승용차 이용시▷ 쌍문역 앞 정의여중입구 사거리에서 노원방향으로 직진후 이마트 앞 창동지하차도 상단으로 U턴 실시",,,N,Y,N,A,,,Y,02-901-1111,,,,,,,,,,,,,,,,,
1003,이마트 분당점,,EMT,I,463815,경기도 성남시 분당구 불정로 134,,경기도 성남시 분당구 정자동 211,031-710-1234,10:00~22:00,,"[2023-07-09,2023-07-23,2023-06-11,2023-06-25,2023-01-22]","9,862",779,-1,8,"사전 / 무인 정산 유료 주차장 (신용카드 전용)
시행 일자 : 2019년 8월 16일(목)
※ 주차 요금 
  무료회차 30분이내 
  기본요금 10분당 1,000원 
  주차장 운영시간 09:30~21:30
 -일최대 요금 20,000원입니다. / 30분초과시 
  회차시간 포함 요금 징수 됩니다. 

※구매 금액별 무료 주차 시간 
   (일 최대 5시간 무료)
   1만원 이상 2시간 
   3만원 이상 3시간 
   5만원 이상 4시간
  10만원 이상 5시간 
 
[유의사항]
 1. 이마트 계산대에서 발행된 당일 영수증만 사용가능 합니다. 
 2. 그 외 영수증은 구매하신 매장에서 주차할인을 적용 받으시길 바랍니다.
 3. 사전 정산시 구매하신 영수증을 모두 적용해 주세요.
    사전 정산후 30분 이내 출차하셔야 됩니다. 

[사전 무인 정산기 위치 안내]
  4층 죄측 EV 앞 1대 / 우측 EV 앞 1대
  5층 죄측 EV 앞 1대 / 우측 EV 앞 1대
  6층 죄측 EV 앞 1대 / 우측 EV 앞 1대
  7층 죄측 EV 앞 1대 / 우측 EV 앞 1대
  8층 죄측 EV 앞 1대 / 우측 EV 앞 1대
  야외 주차장 카트 보관장소 앞 2대",37.358749,127.1198915,"[버스 이용시]
- 마을버스 : 110, 109, 111
- 일반버스 : 33-1, 51, 101, 370, 720-2
- 직행버스 : 9607, 9000, 9407, 9000-1(출근용)
- 광역버스 : 9401, 9403, 9404, 9408 


[자가용 이용시]

※ 성남 방향에서 승용차 이용시
   성남대로 → 분당구청 → 수내동/중앙공원 방면 좌회전 → 정자2동/수내2동 방면으로 우회전
   → 지하차도 → U 턴후 이마트 분당점 도착.

※ 용인 방향에서 승용차 이용시
   분당선 미금역 직진 → 분당더샵파크리버아파트 방면 직진→ 불정사거리 우회전
   → 이마트 분당점 도착.",1003,031-710-1250,N,Y,N,A,,,,,Y,031-710-1258,,,,,,,,,,,,,,,
1009,이마트 청주점,,EMT,O,361202,충북 청주시 서원구 청남로 1853,,충청북도 청주시 서원구 미평동 123-1,043-210-1234,10:00~22:00,,"[2023-07-12,2023-07-26,2023-06-14,2023-06-28,2023-01-22]","10,615",510,-1,5,무료주차,36.6003138,127.4748436,"[버스 이용안내]
-시내버스 : 822-1번, 822-2번, 832번, 411번, 412번, 413번, 414번
415번, 416번, 417번
-좌석버스 : 405번, 407번
※정류장은 [미평]에서 하차 하시면 됩니다.",,,N,Y,N,A,,,Y,043-210-1280,,,,,,,,,,,,,,,,,
1010,이마트 전주점,전주점_일렉트로마트,EMT,M,560170,전북 전주시 완산구 당산로 111,,전라북도 전주시 완산구 서신동 767,063-259-1234,10:00~22:00,,"[2023-07-09,2023-07-23,2023-06-11,2023-06-25,2023-01-22]","7,451",867,-1,3,"- 부분유료주차장

- 이마트 전주점 內 부분유료주차
(기본 30분무료)

- 이마트 전주점 야외주차장 주차 시 차량고도 2M이상 차량만 가능 (점포내부주차장높이 2.5M제한)",35.832589,127.1204174,"[버스 이용시]

*이마트 전주점 오시는 길(By Bus)

※ 이마트전주점 앞 하차
- 전주대학교 → 전주대학교 차량 (3-2번)
- 동부시장 → 전주대학교 차량 (3-2)
- 기린봉 → 평화동종점 차량 (100번)
- 평화동종점 → 전북대학교 농협앞 차량 (101번)
- 전주시양묘장 → 송천동종점 차량 (102번)
- 송천동종점 → 평화동종점 차량 (104번)
- 평화동종점 → 우석대학교종점 차량 (309번)

※ 이마트전주점 맞은편
- 전주대학교 → 전주대학교 차량 (3-1번)
- 전주대학교 → 전동성당/한옥마을 차량 (3-1번)
- 평화동종점 → 기린봉 차량 (100번)
- 대성동종점 → 평화동종점 차량 (101번)
- 전북대학교 덕진성당앞 → 평화동종점 차량 (101번)
- 송천동종점 → 전주시양묘장 차량 (102번)
- 송천동종점 → 재전 차량 (102번)
- 평화동종점 → 송천동종점 차량 (104번)
- 우석대학교 → 평화동종점 차량 (309번)
- 여의동종점 → 평화동종점 차량 (309번)",,,N,Y,Y,A,,,Y,063-259-1207,,,,,,,,,,,,,,,,,
1020,이마트 이천점,,EMT,I,467110,경기 이천시 이섭대천로 1440-50,,경기도 이천시 증포동 47-4,031-644-8123,10:00~22:00,4월 3일부터  22시 영업 종료됩니다.,"[2023-07-09,2023-07-23,2023-06-11,2023-06-25,2023-01-22]","8,810",407,1,3,"■ 유료 주차장 / 운영 시간 : 10:00~22:00 
   (야외 1층 주차장 24시간 운영) 
 - 30분 회차 무료 / 기본 10분 1,000원
   (30분 초과시 회차시간 포함 요금 징수)
 - 1만원 이상 1시간 / 3만원 이상 2시간 / 5만원 이상 3시간 무료 
   (최대 3시간 무료 초과시 요금 징수 / 영수증 중복 적용 불가)
※기타 매장은 해당 코너에서 주차 할인 적용
   ( 문화센터, 미용실, 열쇠, 세탁실, 안경,푸드코트, 고객만족센터 업무 등 ) 
※쇼핑 후 사전 정산기에서 주차요금 정산 후 30분 이내 출차
※기타 문의 사항 발생시 고객 만족센터 문의 요망!!",37.293416,127.4591346,"[자가용 이용시]
수원/용인/경기광주 방면 
서이천 삼거리(이천신둔 방면)로 좌회전 →사음동삼거리(신학대학원 방면)로 좌회전 → 신둔교차로 부발 방면으로 우측방면 → 증포교차로(이천시청 증포동 방면)로 우측방향 → emart사거리 좌회전 
여주/원주 방면 
신진사거리(원주,여주 방면)으로 우측방향 → 안흥2동삼거리(금사,증포동,보건소 방면)으로 좌회전 →증포사거리(양평.금사 방면)으로 우측방향 →emart사거리 우회전 
장호원방면 
진암사거리(서울,이천 방면)으로 좌회전 →가산삼거리(여주,부발,종합운동장 방면)으로 우측방향 →곤지암 백사 방면으로 고가도로 →증포교차로(이천,증포동방면)으로 죄회전 →emart사거리 좌회전

[버스 이용시]
29번,21-11번",1020,031-644-8250,N,Y,N,A,,,Y,031-644-8141,,,,,,,,,,,,,,,,,
1021,이마트 진주점,진주점_일렉트로마트,EMT,J,660020,경남 진주시 진양호로 477,,경상남도 진주시 인사동 3,055-749-1234,10:00~22:00,,"[2023-07-09,2023-07-23,2023-06-11,2023-06-25,2023-01-22]","9,504",454,-4,3,무료주차,35.1913356,128.0776555,"[버스 이용시]
120~126, 210, 253, 260,261, 270~272, 280~282, 290, 292~295, 340~344, 353, 373~377, 420, 730, 731번 (이마트 정류장(정류장 번호 25006번 하차) 
진주성 바로 옆(보건 민원센타 옆)에 있습니다.",,,N,Y,Y,A,,,Y,055-749-1142,,,,,,,,,,,,,,,,,
1039,이마트 구미점,구미점_일렉트로마트,EMT,K,730080,경상북도 구미시 구미대로 256,,경상북도 구미시 광평동 65-1,054-467-1234,10:00~22:00,,"[2023-07-12,2023-07-26,2023-06-14,2023-06-28,2023-01-22]","11,688",936,-1,6,무료주차,36.1095212,128.3649365,"[버스 이용시]
[자가용 이용시]

[버스 이용시] 
(광평노인회관 방면) 
22, 23, 161, 410, 410-1, 410-2, 410-3, 410-4, 410-5, 410-6, 410-7, 461
(이마트 정문)
22, 23, 160, 161, 188, 411, 411-1, 411-2, 411-3, 411-4, 411-5, 411-6, 411-8, 411-9, 460
(이마트 건너)
11, 160, 160-1, 188

[자가용 이용시]
 - 구미IC경유 : 경부고속도로 구미IC 통과 후 수출탑로타리 왜관 박대통령생가 방면으로 우측방향 유턴 후 우회전
 - 구미역에서 출발시 : 각선네거리에서 좌회전 후 금오산네거리에서 산업단지 구미IC방면으로 우회전 후 한국폴리텍대학 구미캠퍼스 왜관방면으로 우측방향 후 수출탑로타리 왜관 박대통령생가방면으로 우측방향 유턴 후 우회전",,,N,Y,Y,A,,,Y,054-467-1207,,,,,,,,,,,,,,,,,
1040,이마트 창원점,창원점_일렉트로마트,EMT,J,641845,경상남도 창원시 성산구 원이대로 608,,경상남도 창원시 성산구 중앙동 91,055-211-1234,10:00~22:00,,"[2023-07-09,2023-07-23,2023-06-11,2023-06-25,2023-01-22]","13,173",815,1,7,"유료주차
※ 18년 8/1(목)일부터 유료주차 운영 변경진행 중

■ 주차요금 
 -. 무료회차 시간 30분 이내 (※ 30분 초과시 회차시간 포함 요금 징수됩니다.)
 -. 기본요금 10분당 1,000원
  ＊구매금액 1만원 이상 2시간 무료
  ＊구매금액 3만원 이상 3시간 무료
  ＊구매금액 5만원 이상 4시간 무료
   * 구매금액 10만원 이상 5시간 무료 
  ＊일일 최대 요금 20,000원

 -. 주차장 운영시간 10:00~23:00

 -. 주요 임대매장 무료주차 시간(최대)
  ＊약국/푸드코트 :1시간
  ＊이디야(커피) : 2시간
  ＊병원, 네일 : 3시간
  ＊경정비, 미용실 등 : 6시간
※ 이마트 구매 금액별 무료주차 시간과 합산 가능합니다.
※ 이마트 영수증이 발행되지 않는 임대매장은 반드시 해당 매장에서 무료주차 시간을 적용 받으세요.

 -. [교환/환불/AS] 고객의 경우 &#39;3층 고객만족센터&#39;에서 해당시간 내 무료주차 등록가능

■ 유의사항
 1. 신용카드 전용 사전무인정산 유료주차장으로 운영되오니
    반드시 구매영수증으로 사전무인정산기에서 정산 후 빠르게 출차하시기 바랍니다.
 2. 사전무인 정산기는 각층 주차장에 있습니다.
 3. 영수증 또는 주차정산표 분실 시 3층 고객만족센터로 방문해 주시기 바랍니다.",35.2264163,128.6800123,"[버스 이용시]
 105, 151, 155, 170, 102, 103, 757, 113번

[자가용 이용시]
부산방면에서 승용차 이용시 ☞ 마산방면으로 직진 후 창원병원 사거리에서 우회전하여 2km직진.
마산방면에서 승용차 이용시 ☞ 창원대로에서 창원터널 방향으로 직진 후 창원병원 사거리에서 
좌회전하여 2km직진.",,,N,Y,Y,A,,,Y,055-211-1207,,,,,,,,,,,,,,,,,
1099,이마트 평촌점,,EMT,I,431060,경기도 안양시 동안구 시민대로 300,,경기도 안양시 동안구 관양동 1608,031-687-1234,10:00~22:00,4월3일부터 영업 시간 변경 (※ 10:00~22:00),"[2023-07-12,2023-07-26,2023-06-14,2023-06-28,2023-01-22]","10,575",640,-2,7,"[주차장 이용시간]

- 회차 30분 이후 10분당 1천원
- 1만원이상 구매시: 2시간 무료
- 3만원이상 구매시: 3시간 무료
- 5만원이상 구매시: 4시간 무료
- 10만원이상 구매시: 5시간 무료
- 당일최대요금 5만원
※ 이마트 구매 영수증으로 무인 사전정산 후 출차하세요!
※ 이마트앱에 차량번호 등록 후 사전정산 하세요!
※ 임대매장은 각 코너별로 주차할인 적용 받으세요!
※ 전기차 충전소 운영 현황:4층 →4대 5층 →2대 운영 중입니다.",37.3950239,126.9637027,"[지하철 이용시]
- 지하철: 4호선 평촌역 2번 출구

[버스 이용시]
- 일반버스: 52, 22, 6, 1
- 마을버스: 10-1, 5-1, 5, 6, 7",,,N,Y,N,A,,,Y,031-687-1207,,,,,,,,,,,,,,,,,
1043,이마트 강릉점,,EMT,H,210140,강원도 강릉시 경강로 2398-10,,강원도 강릉시 송정동 1008-7,033-649-1234,10:00~22:00,,"[2023-07-12,2023-07-26,2023-06-14,2023-06-28,2023-01-25]","9,366",713,-1,6,"무료주차
1층 야외주차장 전기차 충전소(실내 주차장 내 전기차 충전소 없음)",37.7702792,128.9227534,"[버스 이용시]
 시내버스 : 101, 102, 103, 206, 207, 221, 303-1, 306, 308, 308-1  509, 508, 505, 503, 501, 502번

[승용차 이용시]
   신영극장 → 용지각(강릉여고) → 동해상사(공단사거리) → 이마트 → 안목종점",1043,033-649-1250,N,Y,N,A,,,Y,033-649-1207,,,,,,,,,,,,,,,,,
