SEQ,jijum_seq,jijum_id,floor,category_name,category_delete_yn,store_name,tel,store_delete_yn,store_shopping_time
1,462316,1045,-1,주차장/전기차 충전소,N,전기차 충전소 ( 급속 / 2대 운영 ),-3270,N,10:00~21:50
2,462318,1045,1,농산/축산/수산/즉석조리/가공,N,뉴욕버거,051-636-3331,N,10:00~21:00
2,462319,1045,1,농산/축산/수산/즉석조리/가공,N,더카페,051-932-3272,N,10:00~21:00
2,462320,1045,1,농산/축산/수산/즉석조리/가공,N,e베이커리,051-632-2705,N,10:00~21:00
2,462317,1045,1,농산/축산/수산/즉석조리/가공,N,베스킨라빈스,051-647-5223,N,10:00~21:30
3,482514,1045,2,일상/생활/문구/완구/가전,N,문화센터,051-609-1250,N,10:00~17:00
3,482511,1045,2,일상/생활/문구/완구/가전,N,아가방,051-644-9964,N,10:00~22:00
3,482512,1045,2,일상/생활/문구/완구/가전,N,비욘드,051-631-1809,N,10:00~22:00
3,482516,1045,2,일상/생활/문구/완구/가전,N,가전매장,051-609-1207,N,10:00~22:00
3,482517,1045,2,일상/생활/문구/완구/가전,N,유아휴게실/수유실,051-609-1234,N,10:00~22:00
3,482513,1045,2,일상/생활/문구/완구/가전,N,에스핏(SFIT),,N,10:00~22:50
3,482515,1045,2,일상/생활/문구/완구/가전,N,원스탑쥬얼리,,N,11:00~21:00
4,468739,1045,3,패션/화장품/잡화/M라운지,N,미용실(이철헤어커커),051-808-2326,N,10:00~20:00
4,468740,1045,3,패션/화장품/잡화/M라운지,N,안경점,051-637-8255,N,10:00~21:00
4,468743,1045,3,패션/화장품/잡화/M라운지,N,다솜의원,051-637-7855,N,10:00~21:00
4,468744,1045,3,패션/화장품/잡화/M라운지,N,열쇠/도장,051-646-0474,N,10:00~21:00
4,468745,1045,3,패션/화장품/잡화/M라운지,N,수선실,051-632-0243,N,10:00~21:00
4,468742,1045,3,패션/화장품/잡화/M라운지,N,약국,051-645-1560,N,10:00~21:30
4,468750,1045,3,패션/화장품/잡화/M라운지,N,데코라인(가구),,N,10:00~21:55
4,468751,1045,3,패션/화장품/잡화/M라운지,N,상품권샵,051-609-1212,N,10:00~21:55
4,468741,1045,3,패션/화장품/잡화/M라운지,N,고객만족센터,051-609-1234,N,10:00~22:00
4,468746,1045,3,패션/화장품/잡화/M라운지,N,아모레퍼시픽,051-644-6451,N,10:00~22:00
4,468747,1045,3,패션/화장품/잡화/M라운지,N,LG네이처컬렉션(더페이스샵/이자녹스/비욘드/수려한),051-643-1151,N,10:00~22:00
4,468748,1045,3,패션/화장품/잡화/M라운지,N,더페이스샵,051-645-9342,N,10:00~22:00
4,468749,1045,3,패션/화장품/잡화/M라운지,N,미샤,070-7720-2655,N,10:00~22:00
4,468752,1045,3,패션/화장품/잡화/M라운지,N,휠라,051-636-2594,N,10:00~22:00
4,468753,1045,3,패션/화장품/잡화/M라운지,N,슈마커,051-636-7642,N,10:00~22:00
5,462357,1045,4,주차장/전기차 충전소,N,차량정비소(스피드메이트),051-642-7942,N,10:00~20:00
5,462359,1045,4,주차장/전기차 충전소,N,스팀세차(클린보이),051-636-7711,N,10:00~20:00
5,462358,1045,4,주차장/전기차 충전소,N,세탁소(크린토피아),051-631-1995,N,10:00~21:00
5,462360,1045,4,주차장/전기차 충전소,N,일렉트로 전기차 충전소( 급속 / 2대운영 ),-9398,N,10:00~21:50
5,462361,1045,4,주차장/전기차 충전소,N,BMW 전기차 충전소  (완속 / 1대운영 ),-5647,N,10:00~21:50
8,479934,1007,2,농산/수산/축산/조리/가공/노브랜드/e베이커리,N,고객만족센터,054-420-1234,N,10:00~22:00
8,479935,1007,2,농산/수산/축산/조리/가공/노브랜드/e베이커리,N,상품권샵(신형 2대/구형 1대),054-420-1066,N,10:00~22:00
8,479936,1007,2,농산/수산/축산/조리/가공/노브랜드/e베이커리,N,화장실,054-420-1234,N,10:00~22:00
8,479937,1007,2,농산/수산/축산/조리/가공/노브랜드/e베이커리,N,주차장,054-420-1234,N,10:00~22:00
8,479938,1007,2,농산/수산/축산/조리/가공/노브랜드/e베이커리,N,e베이커리,054-420-1230,N,10:00~22:00
8,479939,1007,2,농산/수산/축산/조리/가공/노브랜드/e베이커리,N,못된고양이(악세사리),,N,10:00~22:00
9,482492,1007,3,일상/패션/패션브랜드/화장품,N,LG네이처컬렉션(화장품),054-437-5821,N,10:00~22:00
9,482493,1007,3,일상/패션/패션브랜드/화장품,N,아모레퍼시픽(화장품),,N,10:00~22:00
9,482494,1007,3,일상/패션/패션브랜드/화장품,N,"아가방(유아의류, 용품)",,N,10:00~22:00
9,482495,1007,3,일상/패션/패션브랜드/화장품,N,수유실,054-420-1234,N,10:00~22:00
9,482496,1007,3,일상/패션/패션브랜드/화장품,N,더페이스샵(화장품),054-432-7178,N,10:00~22:00
9,482497,1007,3,일상/패션/패션브랜드/화장품,N,토니모리(화장품),,N,10:00~22:00
9,482498,1007,3,일상/패션/패션브랜드/화장품,N,레노마(속옷),,N,10:00~22:00
9,482499,1007,3,일상/패션/패션브랜드/화장품,N,마리끌레르(여성 핸드백&가방),,N,10:00~22:00
9,482500,1007,3,일상/패션/패션브랜드/화장품,N,탑텐키즈(아동의류),,N,10:00~22:00
9,482501,1007,3,일상/패션/패션브랜드/화장품,N,폴햄(케쥬얼의류),,N,10:00~22:00
9,482502,1007,3,일상/패션/패션브랜드/화장품,N,허니비즈(여성의류),,N,10:00~22:00
9,482503,1007,3,일상/패션/패션브랜드/화장품,N,허쉬퍼피(케쥬얼화/구두),,N,10:00~22:00
10,479925,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,안경점,054-431-9100,N,10:00~21:00
10,479926,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,화장실,054-420-1234,N,10:00~22:00
10,479927,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,레드페이스(등산),,N,10:00~22:00
10,479928,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,콜핑(등산),,N,10:00~22:00
10,479929,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,데코라인(가구),,N,10:00~22:00
10,479930,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,가전매장(삼성/LG),,N,10:00~22:00
10,479931,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,수족관,,N,10:00~22:00
10,479932,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,JAJU(자연주의),,N,10:00~22:00
10,479933,1007,4,생활/가전/문구/완구/등산브랜드/가구/수족관/자주,N,4층 전기차 충전소(에스트래픽/급속/2대),-3270,N,10:00~22:00
11,477038,1087,-1,농산/축산/수산/즉석조리/와인샵/e베이커리/가공/일상/생활,N,미용실(박승철헤어스투디오),02-780-6060,N,10:00~20:00
