Information,Source
"이마트 창동점의 우편번호는 다음과 같습니다. 
132045<sep>이마트 창동점",이마트 창동점
"이마트 창동점의 주소는 다음과 같습니다. 
서울 도봉구 노해로 65길 4<sep>이마트 창동점",이마트 창동점
"이마트 창동점의 전화번호는 다음과 같습니다. 
02-901-1234<sep>이마트 창동점",이마트 창동점
"이마트 창동점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 창동점",이마트 창동점
"이마트 창동점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. &lt;유료주차 운영 안내&gt;- 24시간운영- 무료회차 시간 30분이내- 기본요금: 10분당 1,000원- 30분 초과시 회차시간 포함 요금징수※ 구매금액별 무료주차시간    1만원 이상 구매 2시간 무료주차    3만원 이상 구매 3시간 무료주차    5만원 이상 구매 4시간 무료주차   10만원 이상 구매 5시간 무료주차<sep>이마트 창동점",이마트 창동점
"이마트 창동점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 
※ 임대매장(스타벅스, 식당 등)이용 무료주차    해당매장에서 무료주차 2시간 적용※ 계산대 출력영수증, 모바일영수증에     하단 바코드를 사용하여    신용카드 전용 사전무인정산기 정산후 출차    -케이엠파크:080-330-3600※ 전기차 충전소 위치: 옥외 주차장 8F     차지비,완속 3대,24:00~24:00, 고객센터 1600-4047 매장 전체 주차가능대수: 159대<sep>이마트 창동점",이마트 창동점
"이마트 창동점의 오시는 길은 다음과 같습니다. 
[지하철 이용시] 
창동역 2번출구 나오셔서 왼쪽방향

[버스 이용시]
마을버스 (도봉) 01번
초록(지선버스) 1120, 1133, 1157번

[승용차 이용시]
노원/태릉이용시 ▷노원역에서 승요차 이용시 창동교를 지나 창동지하차도지나 도봉등기소 앞 50m에서 U턴 실시
쌍문/수유미아에서 승용차 이용시▷ 쌍문역 앞 정의여중입구 사거리에서 노원방향으로 직진후 이마트 앞 창동지하차도 상단으로 U턴 실시<sep>이마트 창동점",이마트 창동점
"이마트 분당점의 우편번호는 다음과 같습니다. 
463815<sep>이마트 분당점",이마트 분당점
"이마트 분당점의 주소는 다음과 같습니다. 
경기도 성남시 분당구 불정로 134<sep>이마트 분당점",이마트 분당점
"이마트 분당점의 전화번호는 다음과 같습니다. 
031-710-1234<sep>이마트 분당점",이마트 분당점
"이마트 분당점의 휴일은 다음과 같습니다/. 
2023-07-09, 2023-07-23, 2023-06-11, 2023-06-25, 2023-01-22<sep>이마트 분당점",이마트 분당점
"이마트 분당점의 주차정보, 주차요금, 무료주차 정보는 다음과 같습니다. 사전 / 무인 정산 유료 주차장 (신용카드 전용)시행 일자 : 2019년 8월 16일(목)※ 주차 요금   무료회차 30분이내   기본요금 10분당 1,000원   주차장 운영시간 09:30~21:30 -일최대 요금 20,000원입니다. / 30분초과시   회차시간 포함 요금 징수 됩니다. ※구매 금액별 무료 주차 시간    (일 최대 5시간 무료)   1만원 이상 2시간    3만원 이상 3시간    5만원 이상 4시간<sep>이마트 분당점",이마트 분당점
